company_code,company_name,source_pdf,pdf_page,record_type,jsonl_line_no,object_name,snapshot_or_date,evidence_text
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,31,equity_snapshot,2,孙国奉,t0_2004-06设立,三联有限设立时出资结构如下：孙国奉175.00万元35.00%；孙国敏162.50万元32.50%；张松满162.50万元32.50%；合计500.00万元100.00%。
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,31,equity_snapshot,3,孙国敏,t0_2004-06设立,三联有限设立时出资结构如下：孙国奉175.00万元35.00%；孙国敏162.50万元32.50%；张松满162.50万元32.50%；合计500.00万元100.00%。
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,31,equity_snapshot,4,张松满,t0_2004-06设立,三联有限设立时出资结构如下：孙国奉175.00万元35.00%；孙国敏162.50万元32.50%；张松满162.50万元32.50%；合计500.00万元100.00%。
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,36,subscription_flow,1,三联合伙,2019-12-04,"2019年12月4日，公司审议通过增资扩股，注册资本由8,150万元增加至8,498万元。新增注册资本由新股东三联合伙以每股4.50元的价格认购，其中348万元计入注册资本，剩余1,218万元计入资本公积。"
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,38,equity_snapshot,5,孙国奉,2019-12增资完成后,"本次增资完成后，公司股本结构如下：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00万股4.10%；孙仁豪1..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,38,equity_snapshot,6,张一衡,2019-12增资完成后,"本次增资完成后，公司股本结构如下：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00万股4.10%；孙仁豪1..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,38,equity_snapshot,7,孙国敏,2019-12增资完成后,"本次增资完成后，公司股本结构如下：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00万股4.10%；孙仁豪1..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,38,equity_snapshot,8,高新同华,2019-12增资完成后,"本次增资完成后，公司股本结构如下：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00万股4.10%；孙仁豪1..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,38,equity_snapshot,9,三联合伙,2019-12增资完成后,"本次增资完成后，公司股本结构如下：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00万股4.10%；孙仁豪1..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,38,equity_snapshot,10,孙仁豪,2019-12增资完成后,"本次增资完成后，公司股本结构如下：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00万股4.10%；孙仁豪1..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,53,equity_snapshot,11,孙国奉,发行前,"本公司发行前总股本8,498万股，本次发行前股东持股情况：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,53,equity_snapshot,12,张一衡,发行前,"本公司发行前总股本8,498万股，本次发行前股东持股情况：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,53,equity_snapshot,13,孙国敏,发行前,"本公司发行前总股本8,498万股，本次发行前股东持股情况：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,53,equity_snapshot,14,高新同华,发行前,"本公司发行前总股本8,498万股，本次发行前股东持股情况：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,53,equity_snapshot,15,三联合伙,发行前,"本公司发行前总股本8,498万股，本次发行前股东持股情况：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00..."
001282,三联锻造,001282_三联锻造_IPO招股说明书.pdf,53,equity_snapshot,16,孙仁豪,发行前,"本公司发行前总股本8,498万股，本次发行前股东持股情况：孙国奉2,287.00万股26.91%；张一衡2,275.00万股26.77%；孙国敏2,275.00万股26.77%；高新同华1,150.00万股13.53%；三联合伙348.00..."
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,56,equity_snapshot,31,深圳市云汉电子有限公司,t0_2008-05设立,有限公司设立时出资比例如下：深圳市云汉电子有限公司25.00万元50.00%；刘云锋25.00万元50.00%；合计50.00万元100.00%。
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,56,equity_snapshot,32,刘云锋,t0_2008-05设立,有限公司设立时出资比例如下：深圳市云汉电子有限公司25.00万元50.00%；刘云锋25.00万元50.00%；合计50.00万元100.00%。
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,subscription_flow,1,天健创投（受让自丰利财富）,2018-04-28,"2018年4月28日，丰利财富与天健创投签署股份转让协议，丰利财富将其持有的云汉芯城全部666,680股股份（占总股本1.67%）转让给天健创投，转让价格按丰利财富2015年入股时投资总额1,000万元确定。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,33,曾烨,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,34,刘云锋,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,35,力源信息,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,36,芜湖富海,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,37,东方富海,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,38,为赛咨询,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,39,深创投,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,40,天健创投,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
301563,云汉芯城,301563_云汉芯城_IPO招股说明书.pdf,58,equity_snapshot,41,镇江红土,2018-04股权转让后,"本次股权转让后，公司股权结构如下，合计40,000,000股，100.00%。"
