company_code,company_name,check_type,snapshot_time,pdf_page,股权结构口径,上一时点股本/持股数(万股),上一时点出资额(万元注册资本),本次认缴/变化(万股),预期变更后股本/持股数(万股),PDF披露变更后股本/持股数(万股),差额(万股),status,notes
001282,三联锻造,公司记录完整性核对,,,,,,1,15,,,pass,认缴流量1条；股权结构15条；是否有t0：是
301563,云汉芯城,公司记录完整性核对,,,,,,30,96,,,pass,认缴流量30条；股权结构96条；是否有t0：是
301581,黄山谷捷,公司记录完整性核对,,,,,,6,24,,,pass,认缴流量6条；股权结构24条；是否有t0：是
603418,友升股份,公司记录完整性核对,,,,,,13,34,,,pass,认缴流量13条；股权结构34条；是否有t0：是
688758,赛分科技,公司记录完整性核对,,,,,,20,100,,,pass,认缴流量20条；股权结构100条；是否有t0：是
688775,影石创新,公司记录完整性核对,,,,,,15,54,,,pass,认缴流量15条；股权结构54条；是否有t0：是
920100,三协电机,公司记录完整性核对,,,,,,3,19,,,pass,认缴流量3条；股权结构19条；是否有t0：是
920116,星图测控,公司记录完整性核对,,,,,,3,10,,,pass,认缴流量3条；股权结构10条；是否有t0：是
001282,三联锻造,同一时点总出资额核对,t0_2004-06设立,31.0,三联有限设立时出资结构,,,,500.0,500.0,0.0,pass,股东出资额合计与披露总出资额基本一致
001282,三联锻造,同一时点总股本核对,2019-12增资完成后,38.0,本次增资完成后公司股本结构,,,,8498.0,8498.0,0.0,pass,股东持股数合计与披露总股本基本一致
001282,三联锻造,同一时点总股本核对,发行前,53.0,本次发行前股本结构,,,,8498.0,8498.0,0.0,pass,股东持股数合计与披露总股本基本一致
301563,云汉芯城,同一时点总出资额核对,t0_2008-05设立,56.0,云汉有限设立时出资比例,,,,50.0,50.0,0.0,pass,股东出资额合计与披露总出资额基本一致
301563,云汉芯城,同一时点总股本核对,2018-04股权转让后,58.0,股份公司第一次股权转让后股权结构,,,,4000.0,4000.0,0.0,pass,股东持股数合计与披露总股本基本一致
301563,云汉芯城,同一时点总股本核对,2018-07增资/转让完成后,60.0,2018年增资及股权转让完成后股权结构,,,,4635.0,4635.0,0.0,pass,股东持股数合计与披露总股本基本一致
301563,云汉芯城,同一时点总股本核对,2020-05增资后,62.0,2020年5月第二次增资后股权结构,,,,4748.0488,4748.0488,0.0,pass,股东持股数合计与披露总股本基本一致
301563,云汉芯城,同一时点总股本核对,2020-09增资/转让后,64.0,2020年9月第三次增资和第四次股权转让后股权结构,,,,4883.7074,4883.7074,0.0,pass,股东持股数合计与披露总股本基本一致
301581,黄山谷捷,同一时点总出资额核对,t0_2012-06设立,39.0,谷捷有限设立时股权结构,,,,1000.0,1000.0,0.0,pass,股东出资额合计与披露总出资额基本一致
301581,黄山谷捷,同一时点总出资额核对,2021-04第一次股权转让后,42.0,谷捷有限股权转让后股权结构,,,,1000.0,1000.0,0.0,pass,股东出资额合计与披露总出资额基本一致
301581,黄山谷捷,同一时点总出资额核对,2021-04吸收合并后,44.0,谷捷有限吸收合并后股权结构,,,,1200.0,1200.0,0.0,pass,股东出资额合计与披露总出资额基本一致
301581,黄山谷捷,同一时点总出资额核对,2021-11第一次增资完成后,45.0,第一次增资完成后股权结构,,,,1714.2857,1714.2857,0.0,pass,股东出资额合计与披露总出资额基本一致
